Venue Name,City,Address,Capacity,Cost_per_day_USD,Venue Type,Contact Name,Amenities
Urban Salon,Redmond,163 Pine St,125,54250,Event Space,Emerson Young,"Air Conditioning, On-site Parking, Charging Stations, Projector, Breakout Rooms, Reception Area"
Tech Chamber,Seattle,250 1st Ave,132,48048,Boardroom,Taylor Hall,"Podium, Projector, Sound System, Coffee Service, Natural Light, Breakout Rooms"
Metropolitan Forum,Redmond,699 1st St,62,25668,Event Space,Taylor Smith,"Wheelchair Accessible, Interpreter Booths, Video Recording, Stage Lighting, Air Conditioning"
Grand Auditorium,San Francisco,725 Pine St,180,57060,Event Space,Alex Brown,"Wi-Fi, On-site Parking, Whiteboard, LED Screens"
Harborview Conference Center,Seattle,398 Madison Ave,56,10472,Event Space,Riley Wong,"Air Conditioning, On-site Parking, Microphones, Reception Area"
Vista Conference Center,Redmond,279 Elm St,191,69715,Meeting Suite,Jordan King,"On-site Parking, Reception Area, Projector, Podium, Natural Light, Wi-Fi"
Skyline Salon,Seattle,139 1st Ave,36,10332,Event Space,Avery Walker,"Whiteboard, On-site Parking, Breakout Rooms, Wheelchair Accessible, Video Conferencing"
Downtown Chamber,Seattle,944 Madison Ave,121,19118,Conference Room,Casey Allen,"Interpreter Booths, Green Room, Projector"
Harbor Meeting Room,San Francisco,755 Elm St,191,43166,Auditorium,Casey Robinson,"Breakout Rooms, LED Screens, Teleconferencing"
Urban Hall,Redmond,593 Oak St,149,13857,Meeting Suite,Hayden Patel,"Microphones, Outdoor Patio, Coffee Service, Cafe Access, Reception Area, Charging Stations"
Cascade Auditorium,Redmond,607 Broadway,138,15318,Event Space,Keegan Garcia,"Natural Light, Podium, Projector, Wi-Fi, Coffee Service"
Coastal Event Space,Redmond,774 Madison Ave,176,55968,Auditorium,Morgan Lewis,"Coat Check, Sound System, Video Recording, Wi-Fi"
Downtown Event Space,San Francisco,929 Oak St,80,20640,Conference Room,Hayden Robinson,"Breakout Rooms, Charging Stations, Catering"
Pacific Meeting Room,Redmond,495 1st Ave,129,33669,Conference Room,Keegan Allen,"Wheelchair Accessible, Stage Lighting, Breakout Rooms, Catering"
Golden Gate Auditorium,Seattle,765 Pine St,94,12690,Boardroom,Dakota Clark,"Interpreter Booths, Coat Check, Podium, Stage Lighting, Projector, Microphones"
Vista Gallery,San Francisco,910 Main St,141,25803,Auditorium,Taylor Johnson,"Reception Area, Breakout Rooms, Podium, Whiteboard"
Microsoft Innovation Suite,San Francisco,1 Market St Suite 200,50,5000,Microsoft Office,Microsoft Events Team,"Wi-Fi, Projector, Video Conferencing"
Microsoft Collaboration Hub,Seattle,700 5th Ave,100,7500,Microsoft Office,Microsoft Events Team,"Wi-Fi, Projector, Video Conferencing"
Microsoft Executive Boardroom,Redmond,15010 NE 36th St,75,4500,Microsoft Office,Microsoft Events Team,"Wi-Fi, Projector, Video Conferencing"
Microsoft Strategy Room,San Francisco,345 Spear St Floor 3,40,3600,Microsoft Office,Microsoft Events Team,"Wi-Fi, Projector, Video Conferencing"
Microsoft Vision Loft,Seattle,123 Terry Ave N,30,2400,Microsoft Office,Microsoft Events Team,"Wi-Fi, Projector, Video Conferencing"
